,Processor ,short_model,Source,median_spec_int_speed_perf,Unnamed: 0,year,model,model_launch_year,frequency,processors,cores,threads,TDP/CPU (W),TDP-total (W),performance_id,sku_level
0,Intel Core i7-4650U,4650,cint2006,46.5,84,2012,Intel Xeon E5-4650,2012,2.70 GHz,4,32.0,32,130,520.0,50.0,4.0
1,Intel Xeon 5160,5160,cint2006,10.475,30,2006,Intel Xeon 5160,2006,3.0 GHz,,2.0,2,80,,60.0,5.0
2,Intel Xeon 7140M,7140M,cint2006,11.2,34,2006,Intel Xeon 7140M,2006,3.3 GHz,,2.0,4,150,,40.0,7.0
3,Intel Xeon E5-2630 v3,2630 v3,cint2006,29.3,102,2017,Intel Xeon E5-2630 v3,2014,2.40 GHz,2,16.0,16,85,170.0,30.0,2.0
4,Intel Xeon E5-2670 v2,2670 v2,cint2006,28.45,97,2014,Intel Xeon E5-2670 v2,2013,2.5GHz,2,20.0,40,115,230.0,70.0,2.0
5,Intel Xeon E5-2680,2680,cint2006,27.65,86,2013,Intel Xeon E5-2680,2012,2.70GHz,8,64.0,128,130,1040.0,80.0,2.0
6,Intel Xeon E5-2690,2690,cint2006,29.6,83,2012,Intel Xeon E5-2690,2012,2.90 GHz,2,16.0,32,135,270.0,90.0,2.0
7,Intel Xeon E5-2690,2690,cint2006,29.6,87,2013,Intel Xeon E5-2690,2012,2.90 GHz,2,16.0,32,130,260.0,90.0,2.0
8,Intel Xeon E5-2699 v3,2699 v3,cint2006,33.1,94,2014,Intel Xeon E5-2699 v3,2014,2.30 GHz,2,36.0,72,145,290.0,99.0,2.0
9,Intel Xeon E5-2699 v3,2699 v3,cint2006,33.1,98,2016,Intel Xeon E5-2699 v3,2014,2.30 GHz,2,36.0,72,145,290.0,99.0,2.0
10,Intel Xeon E5-2699 v4,2699 v4,cint2006,36.7,99,2016,Intel Xeon E5-2699 v4,2016,2.20 GHz,2,44.0,88,145,290.0,99.0,2.0
11,Intel Xeon E5-2699 v4,2699 v4,cint2006,36.7,100,2017,Intel Xeon E5-2699 v4,2016,2.20 GHz,2,44.0,88,145,290.0,99.0,2.0
12,Intel Xeon E5-2699 v4,2699 v4,cint2017,28.935,99,2016,Intel Xeon E5-2699 v4,2016,2.20 GHz,2,44.0,88,145,290.0,99.0,2.0
13,Intel Xeon E5-2699 v4,2699 v4,cint2017,28.935,100,2017,Intel Xeon E5-2699 v4,2016,2.20 GHz,2,44.0,88,145,290.0,99.0,2.0
14,Intel Xeon E5-4650,4650,cint2006,13.475,84,2012,Intel Xeon E5-4650,2012,2.70 GHz,4,32.0,32,130,520.0,50.0,4.0
15,Intel Xeon E5-4650L,4650,cint2006,12.5125,84,2012,Intel Xeon E5-4650,2012,2.70 GHz,4,32.0,32,130,520.0,50.0,4.0
16,Intel Xeon E5320,E5320,cint2006,11.55,43,2007,Intel Xeon E5320,2006,1.86 GHz,1 - 8,4.0,4,80,,20.0,5.0
17,Intel Xeon E5345,E5345,cint2006,8.600000000000001,44,2007,Intel Xeon E5345,2006,2.33 GHz,1 - 8,4.0,4,80,,45.0,5.0
18,Intel Xeon E5420,E5420,cint2006,11.4,53,2008,Intel Xeon E5420,2007,2.5 GHz,1,4.0,4,80,,20.0,5.0
19,Intel Xeon E5520,E5520,cint2006,13.85,65,2009,Intel Xeon E5520,2009,2.26 GHz,1 - 4,4.0,8,80,,20.0,5.0
20,Intel Xeon E7-4890 v2,4890 v2,cint2006,14.975,96,2014,Intel Xeon E7-4890 v2,2014,2.80 GHz,4,60.0,120,155,620.0,90.0,4.0
21,Intel Xeon E7-8870,8870,cint2006,4.925,80,2011,Intel Xeon E7-8870,2011,2.4 GHz,2 - 4,10.0,20,130,,70.0,8.0
22,Intel Xeon E7-8870,8870,cint2006,4.925,85,2012,Intel Xeon E7-8870,2011,2.40 GHz,8,80.0,160,130,1030.0,70.0,8.0
23,Intel Xeon E7-8891 v2,8891 v2,cint2006,15.9375,91,2014,Intel Xeon E7-8891 v2,2014,3.2 GHz,4,40.0,80,155,620.0,91.0,8.0
24,Intel Xeon E7-8891 v2,8891 v2,cint2006,15.9375,93,2014,Intel Xeon E7-8891 v2,2014,3.2 GHz,4,40.0,80,155,620.0,91.0,8.0
25,Intel Xeon Gold 6148,6148,cint2006,39.6,105,2018,Intel Xeon Gold 6148,2017,2.40 GHz,2,40.0,80,150,300.0,48.0,6.0
26,Intel Xeon Gold 6148,6148,cint2017,41.22,105,2018,Intel Xeon Gold 6148,2017,2.40 GHz,2,40.0,80,150,300.0,48.0,6.0
27,Intel Xeon Gold 6148F,6148,cint2006,25.0,105,2018,Intel Xeon Gold 6148,2017,2.40 GHz,2,40.0,80,150,300.0,48.0,6.0
28,Intel Xeon Gold 6148F,6148,cint2017,41.175000000000004,105,2018,Intel Xeon Gold 6148,2017,2.40 GHz,2,40.0,80,150,300.0,48.0,6.0
29,Intel Xeon Gold 6150,6150,cint2006,39.4,104,2018,Intel Xeon Gold 6150,2017,2.70 GHz,2,36.0,72,165,330.0,50.0,6.0
30,Intel Xeon Gold 6150,6150,cint2017,40.8825,104,2018,Intel Xeon Gold 6150,2017,2.70 GHz,2,36.0,72,165,330.0,50.0,6.0
31,Intel Xeon Gold 6258R,6258R,cint2017,49.050000000000004,112,2021,Intel Xeon Gold 6258R,2020,2.70GHz,2,56.0,112,205,410.0,58.0,6.0
32,Intel Xeon Gold 6354,6354,cint2017,55.800000000000004,113,2021,Intel Xeon Gold 6354 CPU,2021,3.00GHz,2,36.0,72,205,410.0,54.0,6.0
33,Intel Xeon Gold 6354,6354,cint2017,55.800000000000004,114,2022,Intel Xeon Gold 6354 CPU,2021,3.00GHz,2,36.0,72,205,410.0,54.0,6.0
34,Intel Xeon Gold 6354,6354,cint2017,55.800000000000004,117,2023,Intel Xeon Gold 6354 CPU,2021,3.00GHz,2,36.0,72,205,410.0,54.0,6.0
35,Intel Xeon Platinum 8180,8180,cint2006,42.0,101,2017,Intel Xeon Platinum 8180,2017,2.50GHz,2,56.0,112,205,410.0,80.0,8.0
36,Intel Xeon Platinum 8180,8180,cint2017,43.02,101,2017,Intel Xeon Platinum 8180,2017,2.50GHz,2,56.0,112,205,410.0,80.0,8.0
37,Intel Xeon Platinum 8180M,8180,cint2006,31.5375,101,2017,Intel Xeon Platinum 8180,2017,2.50GHz,2,56.0,112,205,410.0,80.0,8.0
38,Intel Xeon Platinum 8180M,8180,cint2017,42.435,101,2017,Intel Xeon Platinum 8180,2017,2.50GHz,2,56.0,112,205,410.0,80.0,8.0
39,Intel Xeon X5355,X5355,cint2006,10.35,31,2006,Intel Xeon X5355,2006,2.66 GHz,,4.0,4,120,,55.0,5.0
40,Intel Xeon X5355,X5355,cint2006,10.35,45,2007,Intel Xeon X5355,2006,2.66 GHz,1 - 8,4.0,4,120,,55.0,5.0
41,Intel Xeon X5365,X5365,cint2006,12.15,46,2007,Intel Xeon X5365,2007,3 GHz,1 - 8,4.0,4,150,,65.0,5.0
42,Intel Xeon X5365,X5365,cint2006,12.15,54,2008,Intel Xeon X5365,2007,3.0 GHz,1,4.0,4,150,,65.0,5.0
43,Intel Xeon X5460,X5460,cint2006,13.8,47,2007,Intel Xeon X5460,2007,3.16 GHz,1 - 8,4.0,4,120,,60.0,5.0
44,Intel Xeon X5460,X5460,cint2006,13.8,56,2008,Intel Xeon X5460,2007,3.16 GHz,1,4.0,4,120,,60.0,5.0
45,Intel Xeon X5570,X5570,cint2006,18.05,67,2009,Intel Xeon X5570,2009,2.93 GHz,1 - 4,4.0,8,95,,70.0,5.0
46,Intel Xeon X5650,X5650,cint2006,18.45,72,2010,Intel Xeon X5650,2010,2.66 GHz,1 - 4,6.0,12,95,,50.0,5.0
47,Intel Xeon X5680,X5680,cint2006,20.95,68,2009,Intel Xeon X5680,2010,3.33 GHz,1 - 4,6.0,12,130,,80.0,5.0
48,Intel Xeon X5680,X5680,cint2006,20.95,73,2010,Intel Xeon X5680,2010,3.33 GHz,1 - 4,6.0,12,130,,80.0,5.0
49,Intel Xeon X5680,X5680,cint2006,20.95,79,2011,Intel Xeon X5680,2010,3.46 GHz,2 - 4,6.0,12,130,,80.0,5.0
50,Intel Xeon X5690,X5690,cint2006,23.3,78,2011,Intel Xeon X5690,2011,3.46 GHz,2 - 4,6.0,12,130,,90.0,5.0
51,Intel Xeon X7350,X7350,cint2006,6.125,49,2007,Intel Xeon X7350,2007,2.93 GHz,1 - 8,4.0,4,130,,50.0,7.0
52,Intel Xeon X7350,X7350,cint2006,6.125,57,2008,Intel Xeon X7350,2007,2.93 GHz,1,4.0,4,130,,50.0,7.0
53,Intel Xeon X7460,X7460,cint2006,6.275,58,2008,Intel Xeon X7460,2008,2.66 GHz,1,6.0,6,130,,60.0,7.0
54,Intel Xeon X7460,X7460,cint2006,6.275,69,2009,Intel Xeon X7460,2008,2.66 GHz,1 - 4,6.0,6,130,,60.0,7.0
55,Intel Xeon X7560,X7560,cint2006,8.15,74,2010,Intel Xeon X7560,2010,2.27 GHz,1 - 4,8.0,16,130,,60.0,7.0
